1990,28
1991,48
1992,22
1993,23
1994,12
1995,5
1996,16
1997,21
1998,23
1999,19
2000,34
2001,31
2002,27
2003,34
2004,24
2005,40
2006,50
2007,46
2008,46
2009,38
2010,44
2011,37
2012,32
2013,46
2014,31
2015,36
2016,24
2017,25
2018,34
2019,25
2020,21
